,frame,x,x (cm),time (s)
0,0,0.2067241668701172,59.837390437915005,0.0
2,2,0.2075840272009372,59.837390437915005,0.06666666666666667
3,3,0.2108699381351471,59.837390437915005,0.1
4,4,0.2159062996506691,59.837390437915005,0.13333333333333333
5,5,0.2203898876905441,60.809612775382526,0.16666666666666666
6,6,0.2242899946868419,61.99812781767177,0.2
7,7,0.2303397767245769,63.38327333851663,0.23333333333333334
8,8,0.2378021962940693,64.94101625565378,0.26666666666666666
9,9,0.2421322353184223,66.48783521314415,0.3
10,10,0.2434220239520073,67.84894791675455,0.3333333333333333
11,11,0.2439747862517833,68.81898535628117,0.36666666666666664
12,12,0.2439133711159229,69.25375354363462,0.4
13,13,0.2435755766928196,69.35643738616434,0.43333333333333335
15,15,0.243729118257761,69.37828504042908,0.5
16,16,0.2438519522547722,69.36954624375205,0.5333333333333333
17,17,0.2440362051129341,69.37828504042908,0.5666666666666667
18,18,0.2441590428352356,69.41979465593103,0.6
19,19,0.2446196936070919,69.48315298581315,0.6333333333333333
20,20,0.2455409877002239,69.60331627689897,0.6666666666666666
21,21,0.2461244687438011,69.75188191607221,0.7
22,22,0.2460323385894298,69.88515406474573,0.7333333333333333
23,23,0.2457252442836761,69.96380641518529,0.7666666666666667
24,24,0.2457252405583858,69.97691474271525,0.8
25,25,0.2456638179719448,69.94414259874603,0.8333333333333334
26,26,0.2448960840702057,69.86330588042328,0.8666666666666667
27,27,0.2434527389705181,69.70163270880666,0.9
28,28,0.241579458117485,69.40668871366081,0.9333333333333333
29,29,0.2386313453316688,68.90637650339777,0.9666666666666667
30,30,0.2345469780266285,68.17010856696032,1.0
31,31,0.2311689332127571,67.29620001111188,1.0333333333333334
32,32,0.2290192693471908,66.40262869893961,1.0666666666666667
33,33,0.2277601733803749,65.62921935270886,1.1
34,34,0.2273916527628898,65.12016702062448,1.1333333333333333
35,35,0.2272073961794376,64.83833082295087,1.1666666666666667
36,36,0.2269310168921947,64.68976597886422,1.2
37,37,0.2266546376049518,64.61111468854008,1.2333333333333334
38,38,0.2263475432991981,64.53683345912664,1.2666666666666666
39,39,0.2255797982215881,64.42104102403808,1.3
41,41,0.2233994230628013,64.16979233742167,1.3666666666666667
42,42,0.2232151664793491,63.925097549541384,1.4
43,43,0.2235222607851028,63.724098070190536,1.4333333333333333
44,44,0.2242285832762718,63.627968391425775,1.4666666666666666
45,45,0.2252419963479042,63.759054847071816,1.5
46,46,0.2265010811388492,63.99282514524758,1.5333333333333334
47,47,0.2281286865472793,64.32054075430493,1.5666666666666667
48,48,0.2305547408759594,64.77060349227355,1.6
49,49,0.23387136682868,65.38452403477085,1.6333333333333333
50,50,0.2374336719512939,66.16230291185454,1.6666666666666667
51,51,0.2403203696012497,67.02965756896688,1.7
52,52,0.2419479750096798,67.84020805996208,1.7333333333333334
53,53,0.2426235862076282,68.46286845925185,1.7666666666666666
54,54,0.2432991936802864,68.8801601133667,1.8
55,55,0.2439748011529445,69.14014786168899,1.8333333333333333
56,56,0.2440976426005363,69.29308197159973,1.8666666666666667
57,57,0.2442511916160583,69.40887493674603,1.9
58,58,0.2448039576411247,69.51592857515756,1.9333333333333333
59,59,0.2450496293604374,69.59239523256964,1.9666666666666666
60,60,0.2447425350546836,69.63827490898225,2.0
61,61,0.2438519597053527,69.60987229586597,2.033333333333333
62,62,0.2422857768833637,69.43072100083756,2.066666666666667
63,63,0.240166824311018,69.08334290048526,2.1
64,64,0.2362360097467899,68.47816194975158,2.1333333333333333
65,65,0.2303704917430877,67.51904793981403,2.1666666666666665
66,66,0.2249041944742202,66.28246752808468,2.2
67,67,0.2205434441566467,64.88639857765074,2.2333333333333334
68,68,0.2169811427593231,63.51654681233446,2.2666666666666666
69,69,0.2144015431404113,62.38046561022281,2.3
70,70,0.2128967754542827,61.52622007572704,2.3333333333333335
71,71,0.2127432264387607,60.97128806723005,2.3666666666666667
72,72,0.2138487659394741,60.74844093361448,2.4
73,73,0.2158448845148086,60.851124776144225,2.433333333333333
74,74,0.2187930010259151,61.27060079814224,2.466666666666667
75,75,0.2223553024232387,61.9544340993155,2.5
76,76,0.2257640585303306,62.802125470046285,2.533333333333333
77,77,0.2291728146374225,63.75031631542364,2.566666666666667
78,78,0.233165044337511,64.7727886552433,2.6
79,79,0.2373108267784118,65.83677167068036,2.6333333333333333
80,80,0.2406274564564228,66.89420052235245,2.6666666666666665
81,81,0.2431456372141838,67.88827104414241,2.7
82,82,0.2449267916381359,68.72503872025528,2.7333333333333334
83,83,0.2454488538205623,69.30400354598676,2.7666666666666666
84,84,0.2455102689564228,69.6513821763968,2.8
85,85,0.2456638142466545,69.83053320639632,2.8333333333333335
86,86,0.244988203048706,69.83490220719153,2.8666666666666667
87,87,0.2435448579490184,69.6994459556637,2.9
88,88,0.241825133562088,69.43727383945824,2.933333333333333
89,89,0.239675473421812,69.01124444878181,2.966666666666667
90,90,0.2370958738029003,68.44975933663528,3.0
91,91,0.2338406592607498,67.75937213672591,3.033333333333333
92,92,0.2299098372459411,66.91168050096626,3.066666666666667
93,93,0.226071149110794,65.9438261041785,3.1
94,94,0.2228159420192241,64.92790686800836,3.1333333333333333
95,95,0.2206355668604374,63.988455084336906,3.1666666666666665
96,96,0.2202363461256027,63.30025251733957,3.2
97,97,0.2209733761847019,62.93758092648754,3.2333333333333334
98,98,0.221986785531044,62.87859212745838,3.2666666666666666
100,100,0.2253955416381359,63.217231696162514,3.3333333333333335
101,101,0.2270538508892059,63.702250415925825,3.3666666666666667
102,102,0.228589329868555,64.24407330180625,3.4
