,frame,x,x (cm),time (s)
0,0,0.191035067041715,97.1470602968736,0.0
6,6,0.1916006803512573,97.1470602968736,0.2
7,7,0.1915299793084462,97.1470602968736,0.23333333333333334
8,8,0.1914239227771759,97.1470602968736,0.26666666666666666
9,9,0.1914946188529332,97.16835741110587,0.3
10,10,0.1917774230241775,97.17732423579453,0.3333333333333333
11,11,0.1918834795554479,97.1874116379529,0.36666666666666664
12,12,0.1920955826838811,97.21991688930828,0.4
13,13,0.1924490878979365,97.28829101436907,0.43333333333333335
14,14,0.19276724755764,97.38244629598675,0.4666666666666667
15,15,0.1929086546103159,97.49789900682683,0.5
16,16,0.1927319020032882,97.61223114019721,0.5333333333333333
17,17,0.1933682113885879,97.72544253860283,0.5666666666666667
18,18,0.1941812733809153,97.85210448903157,0.6
19,19,0.1949236392974853,98.01015127084109,0.6333333333333333
20,20,0.1946761806805928,98.20967075867496,0.6666666666666666
21,21,0.1942166239023208,98.40694814659898,0.7
22,22,0.1938277681668599,98.54818075403536,0.7333333333333333
23,23,0.192696546514829,98.55490579380431,0.7666666666666667
24,24,0.1925904949506124,98.43384893565512,0.8
25,25,0.192484438419342,98.23096661294662,0.8333333333333334
26,26,0.1932621548573176,98.02135877798393,0.8666666666666667
27,27,0.1931207577387491,97.89581834999534,0.9
28,28,0.1929793506860733,97.84874055169144,0.9333333333333333
30,30,0.1930853972832361,97.87564197072786,1.0
31,31,0.1933328608671824,97.92271976903177,1.0333333333333334
32,32,0.1935449639956156,97.96979740984061,1.0666666666666667
33,33,0.1931561082601547,98.0101498533854,1.1
34,34,0.1919895311196645,97.99669945885735,1.1333333333333333
35,35,0.1901159435510635,97.87900527808772,1.1666666666666667
36,36,0.1881009538968404,97.57524200401227,1.2
37,37,0.1844244798024495,96.98901209760842,1.2333333333333334
38,38,0.1805005570252736,96.07323807556239,1.2666666666666666
39,39,0.1772836446762085,94.85258004447611,1.3
40,40,0.1748444487651189,93.3842038347922,1.3333333333333333
41,41,0.1725820104281107,91.81718924613646,1.3666666666666667
42,42,0.1700721134742101,90.28380190376149,1.4
43,43,0.1691176493962606,88.89837346855245,1.4333333333333333
44,44,0.1696479022502899,87.76850977415016,1.4666666666666666
45,45,0.1719810465971628,86.99509114194126,1.5
46,46,0.1743141909440358,86.68684461301655,1.5333333333333334
47,47,0.1783795158068339,86.93119979924448,1.5666666666666667
48,48,0.1819499333699544,87.73039895802998,1.6
49,49,0.1862980673710505,89.00261678230878,1.6333333333333333
50,50,0.1887726187705993,90.59877410243544,1.6666666666666667
51,51,0.190363402167956,92.28124108694114,1.7
52,52,0.1910350620746612,93.86170670010524,1.7333333333333334
53,53,0.1906108558177948,95.12495864466587,1.7666666666666666
54,54,0.1899391909440358,95.9667531343814,1.8
55,55,0.1878535052140554,96.34897951062675,1.8333333333333333
56,56,0.1853789538145065,96.26379152618297,1.8666666666666667
57,57,0.1820913404226303,95.77171753137709,1.9
58,58,0.1803591549396515,94.9388906538256,1.9333333333333333
59,59,0.1771068970362345,93.8448945731681,1.9666666666666666
60,60,0.1742788404226303,92.57828026621809,2.0
61,61,0.1714861343304316,91.24553298914668,2.033333333333333
62,62,0.1721931497255961,89.95762172545949,2.066666666666667
63,63,0.1733243763446808,88.89052737882857,2.1
64,64,0.1767533918221791,88.25385778421662,2.1333333333333333
65,65,0.180217757821083,88.23031935754989,2.1666666666666665
66,66,0.1836821238199869,88.82999997347196,2.2
67,67,0.1856617629528045,89.94080975601739,2.2333333333333334
